,,,,,,Specification,,,,,,Image,,
11,Midea MCA 18 CRN1 Cassette Type Air Conditoner - 1.5 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 1.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 1.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",60750,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 18 CRN1,18000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
12,Midea MCA 24 CRN1 Cassette Type Air Conditoner - 2 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 2 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 2 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",74250,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 24 CRN1,24000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
13,Midea MCA 30 CRN1 Cassette Type Air Conditoner - 2.5 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 2.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 2.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",87750,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 30 CRN1,30000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
14,Midea MCA 36 CRN1 Cassette Type Air Conditoner - 3 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 3 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 3 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",94500,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 36 CRN1,36000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
15,Midea MCA 48 CRN1 Cassette Type Air Conditoner - 4 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 4 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 4 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",108000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 48 CRN1,48000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
16,Midea MCA 60 CRN1 Cassette Type Air Conditoner - 5 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",130000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 60 CRN1,60000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
17,Midea MHC 60 CRN1 Duct Type Air Conditoner - 5 Ton,"Noise Level Indoor: 50 DB
Media Duct Type Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Duct Type Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",130000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MHC 60 CRN1,60000 BTU/h DUCT TYPE,E:\Noor Trade,duct.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
18,Midea MTA 96 CR Duct Type Air Conditoner - 8 Ton,"Noise Level Indoor: 50 DB
Media Duct Type Ac 8 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Duct Type Ac 8 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",260000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MTA 96 CR,96000 BTU/h DUCT TYPE,E:\Noor Trade,duct.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
19,Midea MTA 96 CR Duct Type Air Conditoner - 10 Ton,"Noise Level Indoor: 50 DB
Media Duct Type Ac 10 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Duct Type Ac 10 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",312000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MTA 120 CR,120000 BTU/h DUCT TYPE,E:\Noor Trade,duct.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
20,Midea MFS 24 CR Floor Type Air Conditoner - 2 Ton,"Noise Level Indoor: 50 DB
Media Floor Type Ac 2 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Floor Type Ac 2 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",74250,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MFS 24 CR,24000 BTU/h FLOOR TYPE,E:\Noor Trade,floor-standing.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
21,Midea MFS 48 CR Floor Type Air Conditoner - 4 Ton,"Noise Level Indoor: 50 DB
Media Floor Type Ac 4 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Floor Type Ac 4 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",101250,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MFS 48 CR,48000 BTU/h FLOOR TYPE,E:\Noor Trade,floor-standing.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
22,Midea MFG 60 HRN1 Floor Type Air Conditoner - 5 Ton,"Noise Level Indoor: 50 DB
Media Floor Type Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Floor Type Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",130000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MFG 60 HRN1,60000 BTU/h FLOOR TYPE,E:\Noor Trade,floor-standing.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
